country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,5630,5610,5790,5970,6470,6910,7360,7630,8030,8530,8960,9170,9800,10.2k,10.8k,10.5k,11.1k,11.8k,12.3k,12.4k,12.8k,13.2k,13k,13.5k,14.3k,14.9k,15.4k,15.8k,16.4k,16.5k,16.2k,16.2k,16.2k,16.3k,16.4k,16.5k,16.6k,16.7k,16.4k,16.7k,17k,16.8k,17k,17.2k,17.3k,16.9k,16.5k,16.7k,16.4k,15.5k,15.3k,15.6k,15.3k,15.8k,15.6k,,,,,
Switzerland,3080,3230,3280,3350,3450,3590,3650,3750,3850,4020,4310,4620,4780,5010,5030,4880,5080,5320,5520,5780,5990,6120,6190,6330,6600,6850,6990,7160,7200,7370,7450,7540,7430,7240,7160,7280,7390,7340,7480,7650,7850,7990,8030,8200,8210,8310,8360,8160,8310,8020,8170,7930,7890,7810,7520,,,,,
Chile,,,,,,,,,,,,761,788,758,801,731,769,794,834,876,903,919,887,906,967,988,1030,1050,1120,1210,1240,1310,1460,1510,1590,1750,1930,2070,2180,2390,2500,2630,2730,2900,3060,3100,3220,3340,3340,3300,3310,3580,3810,3880,3880,,,,,
China,,,,,,,,,,,,152,164,176,174,199,204,221,247,267,282,286,299,317,336,363,391,427,462,487,511,549,605,663,727,770,821,853,871,914,993,1080,1190,1380,1590,1780,2040,2330,2450,2610,2940,3300,3470,3770,3930,,,,,
Cote d'Ivoire,,,,,,,,,,,,97,104,115,117,126,140,149,162,199,183,189,187,178,132,151,152,171,175,161,160,148,153,144,146,176,162,172,187,176,174,182,177,174,173,172,182,187,196,201,215,197,235,233,275,,,,,
Cameroon,,,,,,,,,,,,152,156,153,170,175,166,155,156,155,156,198,221,214,205,224,208,208,210,210,199,192,189,191,167,160,166,175,172,177,175,165,155,167,192,186,246,254,267,265,261,256,247,252,275,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,162,159,167,169,167,162,158,148,143,151,136,130,138,141,148,151,146,146,169,131,125,115,103,101,109,105,95.4,93.4,95.2,96.6,95.5,89.7,90.2,88.2,89.5,102,105,101,107,105,108,112,117,109,,,,,
"Congo, Rep.",,,,,,,,,,,,56.4,57.6,62.8,63.7,66.4,68.9,70.6,72.1,75.9,83.2,69.9,105,99.5,149,113,176,180,168,170,174,185,178,161,144,151,154,129,111,69.1,95.6,105,115,115,105,117,126,125,135,145,140,148,215,213,203,,,,,
Colombia,,,,,,,,,,,,415,400,433,472,454,469,513,568,607,637,634,659,664,720,755,809,785,805,851,872,871,779,873,910,920,911,918,894,828,846,866,873,876,912,909,961,989,988,1070,1090,1140,1170,1310,1310,,,,,
Costa Rica,,,,,,,,,,,,605,652,676,719,731,767,798,850,858,931,963,934,919,990,1010,1080,1140,1140,1080,1070,1120,1410,1330,1270,1280,1250,1360,1310,1440,1510,1490,1560,1640,1680,1720,1820,1890,1890,1850,1890,1890,1940,1940,1940,,,,,
Cuba,,,,,,,,,,,,506,515,547,571,623,670,721,788,862,840,963,1010,1050,1120,1000,1070,1090,1150,1190,1210,1050,904,840,898,919,974,1040,1050,1080,1140,1160,1190,1190,1180,1160,1230,1300,1320,1330,1300,1330,1380,1440,1450,,,,,
Cyprus,,,,,,,,,,,,991,1130,1220,1040,1030,1140,1220,1280,1360,1420,1440,1540,1660,1680,1770,1870,1950,2090,2300,2430,2480,2840,3000,3060,2780,2820,2870,3100,3180,3370,3460,3700,3920,3950,4100,4240,4380,4550,4580,4590,4240,4040,3590,3620,,,,,
Czech Republic,,,,,,,,,,,,3420,3600,3730,3860,4030,4170,4290,4500,4390,4590,4640,4680,4810,4960,5140,5260,5450,5500,5580,5600,5260,5080,5030,5190,5470,5730,5660,5600,5490,5700,5890,5890,6070,6230,6360,6530,6520,6490,6140,6350,6300,6300,6280,6260,,,,,
Germany,1590,1680,1790,1920,2060,2190,2300,2360,2580,2820,3830,4060,4340,4650,4800,4740,5150,5290,5570,5790,5800,5830,5820,5970,6240,6450,6530,6670,6780,6840,6640,6560,6450,6290,6240,6330,6400,6430,6480,6510,6640,6760,6900,7010,7110,7140,7210,7230,7190,6820,7260,7280,7270,7220,7040,,,,,
Denmark,1090,1190,1360,1500,1620,1820,1980,2130,2340,2620,2890,3060,3350,3430,3250,3410,3790,4000,4310,4540,4600,4590,4680,4740,4980,5350,5620,5790,5860,5850,5940,6220,6240,6310,6540,6420,6650,6610,6500,6510,6480,6490,6530,6600,6620,6660,6820,6670,6530,6220,6330,6170,6040,6040,5860,,,,,
Dominican Republic,,,,,,,,,,,,328,309,400,365,403,382,422,410,472,441,443,328,366,445,477,485,479,381,336,391,401,545,513,531,502,640,643,1100,1280,1330,1290,1390,1370,1130,1230,1330,1360,1380,1330,1390,1430,1500,1550,1620,,,,,
Algeria,,,,,,,,,,,,134,143,159,171,196,220,233,279,315,330,363,406,417,441,466,485,455,482,522,532,532,560,548,551,560,571,576,618,653,683,709,731,786,804,891,862,894,947,866,1020,1120,1240,1280,1360,,,,,
Ecuador,,,,,,,,,,,,145,149,163,174,196,223,252,292,327,360,384,404,409,412,398,418,452,452,446,481,509,522,517,550,552,612,655,687,635,635,647,688,716,824,795,862,953,1080,1100,1140,1210,1280,1330,1380,,,,,
Egypt,,,,,,,,,,,,204,201,197,218,240,274,308,322,347,382,418,458,503,522,497,590,620,635,657,678,694,698,714,727,745,803,842,885,942,977,1030,1080,1150,1190,1260,1330,1420,1470,1540,1580,1690,1690,1680,1680,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,57.2,63.6,67.1,76.9,84.3,73.9,78.7,75,81.7,87.1,89.6,86.4,85.6,79.5,81.8,79,83.3,85.8,89.3,92.9,95.1,96.6,,,,,
Spain,495,550,613,664,745,823,926,1030,1150,1290,1420,1530,1700,1870,2020,2050,2260,2290,2400,2530,2640,2670,2660,2790,2900,2980,3000,3090,3220,3440,3540,3610,3690,3640,3760,3920,4010,4320,4480,4820,5170,5420,5580,5680,5890,6110,6110,6050,6030,5650,5710,5600,5570,5410,5360,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,5620,4930,4050,4350,4240,4560,4810,4730,4460,4540,4680,4770,5160,5430,5530,5870,6280,6360,5980,6510,6310,6690,6660,6730,,,,,
Ethiopia,,,,,,,,,,,,18.9,18.7,17.8,17,16.5,16,15,15.7,17.3,18.1,19,19.7,20.4,21.4,19.9,19.9,20.3,19.3,18.7,22.6,21.9,21.7,23.4,23.7,24.1,24.5,23.9,23.8,23,22.8,26.6,26.2,28.6,30.8,33.5,37.5,39.6,41,42.2,48.3,52.6,57.2,64.1,69.2,,,,,
Finland,1870,2190,2390,2480,2720,2940,3200,3350,3630,4070,4570,4890,5520,6050,6140,5950,6550,6730,7330,7930,8300,8490,8530,9120,9810,10.5k,10.6k,11.4k,11.8k,12k,12.5k,12.5k,12.5k,13k,13.6k,13.6k,13.7k,14.5k,14.8k,15.1k,15.3k,15.7k,16.1k,16.4k,16.8k,16.1k,17.2k,17.2k,16.3k,15.2k,16.5k,15.7k,15.7k,15.5k,15.2k,,,,,
France,1460,1550,1650,1750,1900,1990,2100,2190,2270,2470,2630,2750,2930,3160,3270,3250,3590,3690,3930,4200,4420,4580,4620,4710,4940,5260,5510,5650,5740,5860,5970,6360,6480,6450,6530,6620,6910,6830,7020,7150,7220,7340,7300,7530,7660,7650,7540,7510,7640,7340,7730,7230,7360,7370,6940,,,,,
Gabon,,,,,,,,,,,,186,214,260,299,385,490,649,624,728,724,792,864,922,977,1030,1030,1010,998,835,919,907,886,867,766,771,849,857,919,903,880,900,926,936,916,916,945,970,982,943,957,967,989,1080,1170,,,,,
United Kingdom,2410,2550,2780,3000,3130,3330,3430,3510,3760,4010,4170,4250,4370,4670,4530,4490,4590,4670,4730,4920,4680,4570,4480,4550,4600,4830,4950,5080,5230,5300,5360,5450,5450,5490,5380,5580,5820,5830,5910,6010,6110,6140,6140,6170,6140,6270,6200,6100,6020,5640,5700,5470,5450,5410,5130,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040,2700,2130,1940,1990,1490,1150,1330,1520,1560,1570,1580,1650,1750,1810,1920,1770,1830,1880,1830,2050,2290,2330,2500,2690,,,,,
Ghana,,,,,,,,,,,,308,341,386,394,372,384,394,324,390,416,410,371,164,92.8,163,258,287,303,306,324,336,351,336,336,350,362,387,270,355,326,332,306,218,217,243,293,241,261,260,277,315,342,376,351,,,,,
Gibraltar,,,,,,,,,,,,1550,1530,1580,1540,1630,1660,1620,1620,1720,1730,1810,1920,2000,2010,2090,2170,2130,2260,2640,2540,3000,3330,3490,3600,3660,3690,3670,3740,3800,3890,3860,3890,3990,4010,4240,4370,4470,4800,5040,5120,4940,5080,5430,5690,,,,,
Greece,242,273,305,342,408,475,625,742,803,918,1020,1200,1360,1550,1560,1660,1800,1900,2100,2180,2250,2260,2270,2420,2560,2670,2720,2860,3100,3210,3220,3250,3400,3460,3600,3710,3830,3990,4180,4320,4590,4720,4910,5090,5200,5300,5430,5700,5810,5630,5330,5390,5530,5030,5060,,,,,
Guatemala,,,,,,,,,,,,123,143,151,128,170,203,215,220,227,266,224,195,168,172,181,150,171,168,192,205,211,261,247,270,299,262,243,317,366,332,360,365,454,487,486,540,552,541,550,556,550,550,579,601,,,,,
"Hong Kong, China",,,,,,,,,,,,1300,1310,1420,1350,1440,1610,1800,1950,2000,2160,2230,2360,2620,2790,2920,3200,3850,4070,3940,4180,4400,4510,4700,4840,4850,4920,4970,5330,5270,5450,5550,5650,5710,5780,5880,5880,5910,5880,5950,5970,5960,6030,5940,6080,,,,,
Honduras,,,,,,,,,,,,127,127,143,148,156,162,181,182,206,211,224,221,231,238,283,279,326,338,331,368,352,329,342,305,354,401,414,443,445,488,495,517,540,539,573,584,635,656,624,618,664,637,643,620,,,,,
